GIST Output v4 spacing=0.5000 center=39.484000,35.880000,33.355000 dims=25,31,47 
voxel xcoord ycoord zcoord population g_O g_H dTStrans-dens(kcal/mol/A^3) dTStrans-norm(kcal/mol) dTSorient-dens(kcal/mol/A^3) dTSorient-norm(kcal/mol) dTSsix-dens(kcal/mol/A^3) dTSsix-norm(kcal/mol) Esw-dens(kcal/mol/A^3) Esw-norm(kcal/mol) Eww-dens(kcal/mol/A^3) Eww-norm-unref(kcal/mol) Dipole_x-dens(D/A^3) Dipole_y-dens(D/A^3) Dipole_z-dens(D/A^3) Dipole-dens(D/A^3) neighbor-dens(1/A^3) neighbor-norm order-norm
8133 35.984 37.38 22.855 28 0.694611 1.18563 0.00363918 0.162464 -0.0125695 -0.561138 0.000158176 0.00706141 -0.0199278 -0.889635 -0.204361 -9.12327 0.00503154 0.0188508 -0.0013063 0.0195544 0.1176 5.25 0 
8134 35.984 37.38 23.355 58 1.60479 1.66467 -0.00159593 -0.0343951 -0.0386415 -0.832791 -0.0427419 -0.921163 -0.0196043 -0.422506 -0.474129 -10.2183 0.023427 0.0362853 0.0177807 0.0467076 0.2232 4.81034 0 
8135 35.984 37.38 23.855 80 1.82036 1.30539 -0.0262696 -0.410462 -0.0713634 -1.11505 -0.104419 -1.63154 -0.0251551 -0.393048 -0.63177 -9.8714 0.0379239 0.0401938 0.049614 0.0742652 0.2896 4.525 0 
8136 35.984 37.38 24.355 71 1.38922 0.766467 -0.0241207 -0.42466 -0.0548605 -0.965854 -0.0681095 -1.19911 -0.0394355 -0.694287 -0.520697 -9.16719 0.0100784 0.0316549 0.0561129 0.0652094 0.2504 4.40845 0 
8137 35.984 37.38 24.855 17 0.263473 0.646707 0.00757891 0.557273 -0.0171167 -1.25858 -0.0135676 -0.997616 -0.00600315 -0.441408 -0.122393 -8.99952 0.00336428 0.00809077 0.016788 0.0189372 0.0632 4.64706 0 
8138 35.984 37.38 25.355 6 0.0718563 0.347305 0.0051378 1.07037 -0.00723799 -1.50792 -0.00240216 -0.500451 -0.0164924 -3.43592 -0.0414234 -8.62987 -0.00348593 0.00889733 0.00509541 0.0108295 0.0208 4.33333 0 
8139 35.984 37.38 25.855 3 0.0718563 0.215569 0.00308878 1.28699 -0.00389326 -1.62219 -0.000240541 -0.100226 -0.00893639 -3.72349 -0.019476 -8.115 -0.00181358 0.004646 -0.000767672 0.00504616 0.0088 3.66667 0 
8140 35.984 37.38 26.355 13 0.191617 0.143713 0.00146895 0.141246 -0.0179453 -1.72551 -0.0202376 -1.94593 -0.0434322 -4.17618 -0.0821344 -7.89754 -0.0153886 0.00742715 -0.0103807 0.0199933 0.04 3.84615 0 
8141 35.984 37.38 26.855 31 0.694611 0.263473 -0.00195454 -0.0788123 -0.0351932 -1.41908 -0.041068 -1.65597 -0.126361 -5.09519 -0.199575 -8.04739 -0.0271524 -0.00859882 -0.0150555 0.0322158 0.0856 3.45161 0 
8142 35.984 37.38 27.355 101 2.65868 0.850299 -0.0547702 -0.677849 -0.0956453 -1.18373 -0.164899 -2.04083 -0.460509 -5.69937 -0.63572 -7.86783 -0.0133643 -0.0447739 -0.0278482 0.0543951 0.276 3.41584 0 
8143 35.984 37.38 27.855 311 6.99401 1.7006 -0.349323 -1.40403 -0.386282 -1.55258 -0.703201 -2.82637 -1.7786 -7.14873 -1.76101 -7.07802 0.201364 -0.232938 0.104433 0.325137 0.8248 3.31511 0 
8144 35.984 37.38 28.355 40 0.742515 2.91018 -0.0247224 -0.772574 -0.0376595 -1.17686 -0.0777591 -2.42997 -0.221308 -6.91587 -0.200336 -6.2605 0.0340946 -0.0286845 0.014134 0.0467441 0.1064 3.325 0 
8145 35.984 37.38 28.855 0 0 0.682635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8146 35.984 37.38 29.355 0 0 0.011976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8147 35.984 37.38 29.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8148 35.984 37.38 30.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8149 35.984 37.38 30.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8150 35.984 37.38 31.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8151 35.984 37.38 31.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8152 35.984 37.38 32.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8153 35.984 37.38 32.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8154 35.984 37.38 33.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8155 35.984 37.38 33.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8156 35.984 37.38 34.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8157 35.984 37.38 34.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8158 35.984 37.38 35.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8159 35.984 37.38 35.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8160 35.984 37.38 36.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8161 35.984 37.38 36.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8162 35.984 37.38 37.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8163 35.984 37.38 37.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8164 35.984 37.38 38.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8165 35.984 37.38 38.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8166 35.984 37.38 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8167 35.984 37.38 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8168 35.984 37.38 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8169 35.984 37.38 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8170 35.984 37.38 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8171 35.984 37.38 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8172 35.984 37.38 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8173 35.984 37.38 42.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8174 35.984 37.38 43.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8175 35.984 37.38 43.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8176 35.984 37.38 44.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8177 35.984 37.38 44.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8178 35.984 37.88 21.855 24 0.57485 0.946108 0 0 0.000431118 0.022454 0 0 -0.0184974 -0.963405 -0.188541 -9.81982 0.00619824 0.01126 -0.00530465 0.0139048 0.0976 5.08333 0 
8179 35.984 37.88 22.355 48 1.07784 1.47305 -0.00604539 -0.157432 0.000943454 0.0245691 0.000636881 0.0165854 -0.0351798 -0.91614 -0.364221 -9.48491 0.000173738 0.0139737 0.00603597 0.0152226 0.1976 5.14583 0 
8180 35.984 37.88 22.855 64 1.38922 2.0479 -0.0153397 -0.299604 -0.0377741 -0.737776 -0.0454846 -0.888371 -0.0624758 -1.22023 -0.476615 -9.30888 0.00666191 0.0479341 0.00880919 0.04919 0.2456 4.79688 0 
8181 35.984 37.88 23.355 118 2.61078 1.61677 -0.0450361 -0.477077 -0.0867275 -0.918724 -0.127895 -1.35482 -0.0702672 -0.744356 -0.943342 -9.99303 0.0382248 0.0588474 0.0551407 0.0892448 0.4304 4.55932 0 
8182 35.984 37.88 23.855 82 1.77246 1.52096 -0.0310389 -0.473154 -0.0722731 -1.10172 -0.107068 -1.63214 -0.0448393 -0.683526 -0.652316 -9.94385 0.0365771 0.00846917 0.0364087 0.0522992 0.2872 4.37805 0 
8183 35.984 37.88 24.355 36 0.814371 1.68862 -0.00207271 -0.0719691 -0.0228159 -0.792219 -0.028555 -0.991492 -0.0197724 -0.686543 -0.275377 -9.5617 0.0226655 0.00720422 0.0169968 0.0292322 0.1264 4.38889 0 
8184 35.984 37.88 24.855 2 0.0718563 1.07784 0.00345578 2.15986 0.000899802 0.562376 0.000685659 0.428537 -0.00381286 -2.38304 -0.0149139 -9.32122 -0.00147584 0.00142138 0.000695134 0.00216371 0.0056 3.5 0 
8185 35.984 37.88 25.355 2 0.0239521 0.287425 0.00307728 1.9233 0.000167367 0.104604 0.000546099 0.341312 -0.00593843 -3.71152 -0.0126555 -7.90968 -0.00205741 -0.00124224 8.275e-06 0.00240336 0.0064 4 0 
8186 35.984 37.88 25.855 1 0 0.0958084 0.00132302 1.65377 0 0 -0.000711848 -0.889809 -0.0017299 -2.16237 -0.00723122 -9.03902 -0.00072369 0.00142991 -0.000978855 0.0018779 0.0024 3 0 
8187 35.984 37.88 26.355 5 0.0718563 0.167665 0.00322193 0.805483 -0.00915731 -2.28933 -0.0080658 -2.01645 -0.0212163 -5.30406 -0.0269448 -6.7362 -0.0055177 0.00534197 -0.00523998 0.00929726 0.0112 2.8 0 
8188 35.984 37.88 26.855 11 0.239521 0.287425 0.00450225 0.51162 -0.0163416 -1.857 -0.0149886 -1.70325 -0.046414 -5.27432 -0.066139 -7.5158 -0.00906763 0.00335243 -0.00465472 0.0107297 0.0272 3.09091 0 
8189 35.984 37.88 27.355 126 3.04192 0.251497 -0.107527 -1.06673 -0.158589 -1.5733 -0.248463 -2.46491 -0.669223 -6.63912 -0.771914 -7.65788 0.125413 -0.0215479 -0.0087216 0.127549 0.3088 3.06349 0 
8190 35.984 37.88 27.855 351 8.45509 0.467066 -0.377921 -1.34587 -0.426959 -1.52051 -0.790714 -2.81593 -1.95849 -6.97469 -2.04395 -7.27904 0.309204 -0.245226 0.0992053 0.406921 0.84 2.99145 0 
8191 35.984 37.88 28.355 18 0.311377 0.946108 -0.00574973 -0.399287 -0.0173988 -1.20825 -0.0283964 -1.97197 -0.0932218 -6.47373 -0.10278 -7.13748 0.0193949 -0.0160612 0.00772298 0.0263395 0.0424 2.94444 0 
8192 35.984 37.88 28.855 0 0 0.57485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8193 35.984 37.88 29.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8194 35.984 37.88 29.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8195 35.984 37.88 30.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8196 35.984 37.88 30.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8197 35.984 37.88 31.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8198 35.984 37.88 31.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8199 35.984 37.88 32.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8200 35.984 37.88 32.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8201 35.984 37.88 33.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8202 35.984 37.88 33.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8203 35.984 37.88 34.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8204 35.984 37.88 34.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8205 35.984 37.88 35.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8206 35.984 37.88 35.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8207 35.984 37.88 36.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8208 35.984 37.88 36.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8209 35.984 37.88 37.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8210 35.984 37.88 37.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8211 35.984 37.88 38.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8212 35.984 37.88 38.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8213 35.984 37.88 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8214 35.984 37.88 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8215 35.984 37.88 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8216 35.984 37.88 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8217 35.984 37.88 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8218 35.984 37.88 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8219 35.984 37.88 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8220 35.984 37.88 42.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8221 35.984 37.88 43.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8222 35.984 37.88 43.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8223 35.984 37.88 44.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8224 35.984 37.88 44.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8225 35.984 38.38 21.855 34 0.766467 1.05389 0 0 -0.0078071 -0.287026 0 0 -0.018769 -0.690037 -0.259358 -9.53521 0.00837635 0.00901803 0.00359874 0.0128234 0.1296 4.76471 0 
8226 35.984 38.38 22.355 34 0.91018 2 -0.0014641 -0.0538271 -0.00604186 -0.222127 -0.015578 -0.572719 -0.0214648 -0.789146 -0.258353 -9.49825 0.00599034 0.00449705 0.0099403 0.0124466 0.136 5 0 
8227 35.984 38.38 22.855 96 2.13174 2.5509 -0.0392512 -0.511084 -0.0426857 -0.555803 -0.087744 -1.1425 -0.0960125 -1.25016 -0.7318 -9.52865 0.0201539 0.0080074 -0.00287921 0.0218767 0.3528 4.59375 0 
8228 35.984 38.38 23.355 141 2.8982 1.90419 -0.0898699 -0.796719 -0.118961 -1.05462 -0.201779 -1.78883 -0.0984916 -0.873153 -1.11267 -9.86407 0.0678586 -0.00322314 0.0329407 0.0755001 0.4872 4.31915 0 
8229 35.984 38.38 23.855 110 2.51497 1.85629 -0.0513147 -0.583122 -0.0937627 -1.06549 -0.163057 -1.85292 -0.121126 -1.37644 -0.832718 -9.4627 0.0316544 -0.0113065 0.0184365 0.0383372 0.3648 4.14545 0 
8230 35.984 38.38 24.355 18 0.502994 3.20958 -0.00462834 -0.321413 -0.0114346 -0.794066 -0.0197335 -1.37038 -0.023943 -1.66271 -0.131984 -9.16559 -0.00259734 -0.00482777 0.00312426 0.00630988 0.0544 3.77778 0 
8231 35.984 38.38 24.855 1 0 1.66467 0.000108655 0.135819 0 0 0.000541887 0.677359 0.00058128 0.7266 -0.00503152 -6.2894 -0.000159957 -0.00187086 2.89533e-05 0.00187791 0.0048 6 0 
8232 35.984 38.38 25.355 0 0 0.215569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8233 35.984 38.38 25.855 1 0 0.131737 0.0010391 1.29888 0 0 -0.000975383 -1.21923 -0.0052969 -6.62112 -0.0038097 -4.76212 -0.00146456 0.000652912 -0.000977392 0.0018779 0.0032 4 0 
8234 35.984 38.38 26.355 5 0.0958084 0.107784 -0.00650963 -1.62741 -0.00460953 -1.15238 -0.00365602 -0.914006 -0.0197148 -4.9287 -0.0287455 -7.18638 -0.00589491 -0.00173133 -0.0018098 0.00640491 0.0096 2.4 0 
8235 35.984 38.38 26.855 6 0.167665 0.263473 0.00409843 0.853839 -0.00771721 -1.60775 -0.0131772 -2.74526 -0.032382 -6.74624 -0.0345154 -7.19071 0.00203761 0.000877676 -0.00239218 0.00326262 0.0136 2.83333 0 
8236 35.984 38.38 27.355 67 1.72455 0.167665 -0.0366689 -0.684121 -0.071936 -1.34209 -0.106331 -1.98379 -0.366937 -6.84583 -0.36856 -6.87612 0.0749388 -0.0148756 -0.0140312 0.0776787 0.1352 2.52239 0 
8237 35.984 38.38 27.855 108 2.8024 0.11976 -0.0728707 -0.84341 -0.115857 -1.34094 -0.19107 -2.21146 -0.55422 -6.41458 -0.595974 -6.89785 0.0762389 -0.0641222 -0.00435545 0.0997145 0.2216 2.56481 0 
8238 35.984 38.38 28.355 4 0.0958084 0.107784 0.00323639 1.01137 -0.00132445 -0.413891 -0.00493607 -1.54252 -0.0100921 -3.1538 -0.0202339 -6.32309 0.00265645 -0.00557006 0.00258754 0.00669161 0.0096 3 0 
8239 35.984 38.38 28.855 0 0 0.0838323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8240 35.984 38.38 29.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8241 35.984 38.38 29.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8242 35.984 38.38 30.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8243 35.984 38.38 30.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8244 35.984 38.38 31.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8245 35.984 38.38 31.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8246 35.984 38.38 32.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8247 35.984 38.38 32.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8248 35.984 38.38 33.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8249 35.984 38.38 33.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8250 35.984 38.38 34.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8251 35.984 38.38 34.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8252 35.984 38.38 35.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8253 35.984 38.38 35.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8254 35.984 38.38 36.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8255 35.984 38.38 36.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8256 35.984 38.38 37.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8257 35.984 38.38 37.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8258 35.984 38.38 38.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8259 35.984 38.38 38.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8260 35.984 38.38 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8261 35.984 38.38 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8262 35.984 38.38 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8263 35.984 38.38 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8264 35.984 38.38 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8265 35.984 38.38 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8266 35.984 38.38 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8267 35.984 38.38 42.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8268 35.984 38.38 43.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8269 35.984 38.38 43.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8270 35.984 38.38 44.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8271 35.984 38.38 44.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8272 35.984 38.88 21.855 41 0.790419 1.48503 0 0 -0.0039026 -0.118982 0 0 -0.022011 -0.671067 -0.313742 -9.56531 -0.00693718 -0.0125478 0.0110826 0.0181217 0.1576 4.80488 0 
8273 35.984 38.88 22.355 50 1.07784 2.13174 -0.00282726 -0.0706814 -0.014532 -0.3633 -0.0288354 -0.720885 -0.0444842 -1.11211 -0.389407 -9.73516 -0.00519928 -0.00207321 0.00777892 0.00958343 0.1776 4.44 0 
8274 35.984 38.88 22.855 131 3.01796 2.37126 -0.0678284 -0.647218 -0.0631609 -0.602681 -0.142469 -1.35944 -0.124998 -1.19273 -1.00117 -9.55311 0.00475972 -0.0428399 -0.0351149 0.0555965 0.4312 4.1145 0 
8275 35.984 38.88 23.355 161 4.0479 2.26347 -0.108272 -0.840618 -0.118701 -0.921589 -0.23407 -1.81731 -0.16962 -1.31693 -1.19579 -9.28407 0.0530118 -0.0327509 -0.00304927 0.0623872 0.5248 4.07453 0 
8276 35.984 38.88 23.855 91 1.84431 2.22755 -0.0572744 -0.786737 -0.0888633 -1.22065 -0.134953 -1.85375 -0.125005 -1.7171 -0.6722 -9.23352 0.0478942 -0.0161154 -0.00236792 0.0505882 0.2688 3.69231 0 
8277 35.984 38.88 24.355 22 0.383234 3.49701 0.00158833 0.090246 -0.0196844 -1.11843 -0.026958 -1.5317 -0.0348468 -1.97993 -0.145177 -8.24871 0.011435 -0.0103724 0.00710745 0.0169959 0.064 3.63636 0 
8278 35.984 38.88 24.855 1 0.0479042 2.15569 0.00169117 2.11396 0 0 0.00182313 2.27892 -0.00155214 -1.94018 -0.00529186 -6.61483 0.00145828 -0.000268388 -0.00115235 0.00187791 0.0032 4 0 
8279 35.984 38.88 25.355 3 0.0479042 0.706587 0.00507677 2.11532 -0.000102254 -0.0426058 0.00342155 1.42565 -0.00890261 -3.70942 -0.0160961 -6.7067 -0.00129221 -0.00242184 0.00148682 0.00312182 0.0072 3 0 
8280 35.984 38.88 25.855 1 0.0479042 0.682635 0.00258585 3.23231 0 0 0.000617426 0.771783 0.000194526 0.243157 -0.00708445 -8.85557 2.68418e-05 -0.00149143 0.00114081 0.00187791 0.0024 3 0 
8281 35.984 38.88 26.355 1 0.0239521 0.299401 0.00230284 2.87854 0 0 0.00114567 1.43208 -0.00218616 -2.7327 -0.00537166 -6.71458 -0.000265619 -0.000856005 0.00165022 0.00187791 0.0024 3 0 
8282 35.984 38.88 26.855 3 0.0479042 0.191617 0.00187983 0.783262 0.00134235 0.559313 0.00195399 0.814161 -0.0150908 -6.28784 -0.0173929 -7.24704 -0.000215737 0.000363122 -0.00348585 0.00351134 0.0064 2.66667 0 
8283 35.984 38.88 27.355 1 0.0239521 0.0239521 0.00087571 1.09464 0 0 -6.36787e-05 -0.0795983 -0.00165316 -2.06645 -0.00566755 -7.08444 -0.000546089 -0.00172142 0.000514801 0.0018779 0.0024 3 0 
8284 35.984 38.88 27.855 0 0 0.0239521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8285 35.984 38.88 28.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8286 35.984 38.88 28.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8287 35.984 38.88 29.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8288 35.984 38.88 29.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8289 35.984 38.88 30.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8290 35.984 38.88 30.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8291 35.984 38.88 31.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8292 35.984 38.88 31.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8293 35.984 38.88 32.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8294 35.984 38.88 32.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8295 35.984 38.88 33.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8296 35.984 38.88 33.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8297 35.984 38.88 34.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8298 35.984 38.88 34.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8299 35.984 38.88 35.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8300 35.984 38.88 35.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8301 35.984 38.88 36.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8302 35.984 38.88 36.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8303 35.984 38.88 37.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8304 35.984 38.88 37.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8305 35.984 38.88 38.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8306 35.984 38.88 38.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8307 35.984 38.88 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8308 35.984 38.88 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8309 35.984 38.88 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8310 35.984 38.88 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8311 35.984 38.88 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8312 35.984 38.88 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8313 35.984 38.88 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
